#	type	pilot	lemma	freq	spec	semScore	isDico	isDistrib
636	T	parametrization	parametrization	2853	2.64			
637	T	thermocouples	thermocouple	2851	2.64						
639	T	benchmark	benchmark	2841	2.64			
640	T	implantation	implantation	2835	2.64			
641	T	cellular	cellular	2834	2.64			
642	T	logarithms	logarithm	2832	2.64			
643	T	neutralino	neutralino	2828	2.64			
644	T	lower bounds	low bound	2820	2.64			
645	T	Coulomb	coulomb	2820	2.64			
646	T	monotone	monotone	2806	2.64			
647	T	ion beam	ion beam	2804	2.64			
648	T	integrable	integrable	2803	2.64						
650	T	parton densities	parton density	2799	2.64			
651	T	inverse	inverse	2796	2.64			
652	T	bifurcation	bifurcation	2796	2.64			
653	T	gamma	gamma	2787	2.63			
654	T	climate model	climate model	2779	2.63			
655	T	completeness	completeness	2778	2.63			
656	T	invariant mass	invariant mass	2767	2.63			
657	T	gauge theory	gauge theory	2765	2.63			
658	T	IPCC	ipcc	2765	2.63			
659	T	elasticity	elasticity	2763	2.63			
660	T	life cycle	life cycle	2761	2.63			
661	T	random variables	random variable	2761	2.63			
662	T	Ergebnisse	ergebnisse	2756	2.63									
665	T	higher-order	higher-order	2754	2.63			
666	T	thermal conductivity	thermal conductivity	2752	2.63			
667	T	sodium	sodium	2747	2.63			
668	T	subgroup	subgroup	2741	2.63			
669	T	Suppl	suppl	2736	2.63			
670	T	keine	keine	2731	2.62			
671	T	crystalline	crystalline	2727	2.62			
672	T	cubic	cubic	2724	2.62			
673	T	subsequence	subsequence	2722	2.62			
674	T	microbial	microbial	2720	2.62			
675	T	abbreviations	abbreviation	2717	2.62			
676	T	climatic	climatic	2715	2.62			
677	T	optimum	optimum	2714	2.62			
678	T	condensate	condensate	2709	2.62			
679	T	arbitrarily	arbitrarily	2706	2.62			
680	T	converter	converter	2699	2.62			
681	T	triple	triple	2697	2.62			
682	T	tween	tween	2694	2.62						
684	T	dimensionless	dimensionless	2692	2.62			
685	T	biofuels	biofuel	2692	2.62			
686	T	grain size	grain size	2692	2.62			
687	T	top quark	top quark	2689	2.62			
688	T	viscous	viscous	2689	2.62			
689	T	source code	source code	2685	2.62			
690	T	Novgorod	novgorod	2684	2.62			
691	T	reconstructed	reconstructed	2680	2.62			
692	T	oriented	oriented	2675	2.62			
693	T	approximation	approximation	37407	2.62			
694	T	torus	torus	2663	2.61			
695	T	macro	macro	2659	2.61			
696	T	rank	rank	2654	2.61			
697	T	DESY	desy	2650	2.61			
698	T	Seite	seite	2643	2.61			
699	T	router	router	2636	2.61			
700	T	payload	payload	2635	2.61			
701	T	optimal control problem	optimal control problem	2635	2.61			
702	T	squark	squark	2635	2.61			
703	T	model	model	2632	2.61			
704	T	residuals	residual	2626	2.61			
705	T	divertor	divertor	2624	2.61			
706	T	energy consumption	energy consumption	2621	2.61						
708	T	velocity	velocity	39279	2.61			
709	T	kaolinite	kaolinite	2616	2.61			
710	T	peak	peak	2616	2.61			
711	T	gravitational	gravitational	2611	2.61			
712	T	zonal	zonal	2610	2.61			
713	T	wavelet	wavelet	2607	2.60			
